date,hours
20150101,600
20150103,0.66
20150104,0.66
20150105,0.37
20150106,0.92
20150107,1.35
20150108,1.21
20150109,1.6
20150110,1.42
20150111,1.46
20150112,1.08
20150113,0.33
20150114,1.17
20150115,0.95
20150116,0.5
20150117,0.85
20150118,1.23
20150120,0.86
20150124,1.17
20150127,0.5
20150130,.75
20150131,1.25
20150202,1.25
20150203,1
20150205,0.5
20150208,1
20150209,1
20150211,1
20150212,0.5
20150213,1
20150214,1.25
20150215,2
20150216,1
20150218,0.5
20150219,1.1
20150220,1.5
20150222,1.33
20150223,1
20150224,3.5
20150228,0.5
20150301,0.66
20150302,1.0
20150304,0.5
20150305,0.5
20150308,1.1
20150309,0.33
20150319,1.25
20150322,1.5
20150330,1
20150401,1.3
20150402,1
20150406,1
20150407,1
20150416,0.5
20150417,0.5
20150427,0.5
20150428,0.5
20150501,1.25
20150509,0.5
20150505,0.5
20150518,0.5
